full_name_1;full_name_2;description
Савва Иванович Мамонтов;Василий Дмитриевич Поленов;"Описание Мамонтов - Поленов"
Савва Иванович Мамонтов;Илья Ефимович Репин;"Описание Мамонтов - Репин"
Савва Иванович Мамонтов;Сергей Васильевич Рахманинов;"Описание Мамонтов - Рахманинов"
Савва Иванович Мамонтов;Николай Андреевич Римский-Корсаков;"Описание Мамонтов - Корсаков"
Савва Иванович Мамонтов;Валентин Александрович Серов;""
Савва Иванович Мамонтов;Михаил Александрович Врубель;""
Савва Иванович Мамонтов;Константин Алексеевич Коровин;""
Илья Ефимович Репин;Валентин Александрович Серов;""
Валентин Александрович Серов;Константин Алексеевич Коровин;""
Василий Дмитриевич Поленов;Илья Ефимович Репин;"Описание Поленов - Репин"
