type;full_name_1;full_name_2;description
friend-1;Савва Иванович Мамонтов;Василий Дмитриевич Поленов;"Описание Мамонтов - Поленов"
friend-1;Савва Иванович Мамонтов;Илья Ефимович Репин;"Описание Мамонтов - Репин"
friend-2;Савва Иванович Мамонтов;Сергей Васильевич Рахманинов;"Описание Мамонтов - Рахманинов"
friend-2;Савва Иванович Мамонтов;Николай Андреевич Римский-Корсаков;"Описание Мамонтов - Корсаков"
friend-1;Савва Иванович Мамонтов;Виктор Михайлович Васнецов;""
family;Виктор Михайлович Васнецов;Апполинарий Михайлович Васнецов;""
friend-1;Савва Иванович Мамонтов;Валентин Александрович Серов;""
friend-1;Савва Иванович Мамонтов;Михаил Александрович Врубель;""
friend-1;Савва Иванович Мамонтов;Константин Алексеевич Коровин;""
friend-2;Савва Иванович Мамонтов;Михаил Михайлович Иванов;""
friend-2;Савва Иванович Мамонтов;Виктор Александрович Гартман;""
friend-2;Савва Иванович Мамонтов;Адриан Викторович Прахов;""
apprentice;Илья Ефимович Репин;Валентин Александрович Серов;""
friend-1;Валентин Александрович Серов;Константин Алексеевич Коровин;""
friend-1;Василий Дмитриевич Поленов;Илья Ефимович Репин;"Описание Поленов - Репин"
family;Василий Дмитриевич Поленов;Елена Дмитриевна Поленова;"Описание Поленов - Поленова"
friend-1;Марк Матвеевич Антокольский;Савва Иванович Мамонтов;""
friend-2;Марк Матвеевич Антокольский;Виктор Александрович Гартман;""
friend-3;Марк Матвеевич Антокольский;Сергей Петрович Боткин;""
friend-1;Марк Матвеевич Антокольский;Михаил Михайлович Иванов;""
apprentice;Василий Дмитриевич Поленов;Исаак Ильич Левитан;""
apprentice;Василий Дмитриевич Поленов;Константин Алексеевич Коровин;""
apprentice;Алексей Кондратьевич Саврасов;Исаак Ильич Левитан;""
apprentice;Василий Григорьевич Перов;Исаак Ильич Левитан;""
friend-1;Савва Иванович Мамонтов;Фёдор Иванович Шаляпин;""
friend-2;Савва Иванович Мамонтов;Надежда Ивановна Забела-Врубель;""
friend-2;Савва Иванович Мамонтов;Татьяна Спиридоновна Любатович;""
friend-2;Савва Иванович Мамонтов;Надежда Васильевна Салина;""
friend-2;Сергей Васильевич Рахманинов;Надежда Васильевна Салина;""
friend-2;Фёдор Иванович Шаляпин;Надежда Васильевна Салина;""
family;Михаил Александрович Врубель;Надежда Ивановна Забела-Врубель;""
apprentice;Василий Григорьевич Перов;Абрам Ефимович Архипов;""
