group;full_name;description
Меценат;Савва Иванович Мамонтов;"Описание Мамонтов"
Художник;Василий Дмитриевич Поленов;"Описание Поленов"
Художник;Елена Дмитриевна Поленова;"Описание Поленова"
Художник;Илья Ефимович Репин;"Описание Репин"
Художник;Константин Алексеевич Коровин;"Описание Коровин"
Художник;Валентин Александрович Серов;"Описание Серов"
Художник;Михаил Александрович Врубель;"Описание Врубель"
Музыкант;Сергей Васильевич Рахманинов;"Описание Рахманинов"
Музыкант;Николай Андреевич Римский-Корсаков;"Описание Римский-Корсаков"
Скульптор;Марк Матвеевич Антокольский;""
Архитектор;Виктор Александрович Гартман;""
Ученый;Сергей Петрович Боткин;""
Критик;Михаил Михайлович Иванов;""
Критик;Адриан Викторович Прахов;""
